date,code,pcs_m,quantity,location
2018-01-26,G37,0.01,1,bodensee_steinach_dolder_a
2018-01-26,G142,0.01,1,bodensee_steinach_dolder_a
2018-01-26,G208,0.07,6,bodensee_steinach_dolder_a
2018-01-26,G59,0.01,1,bodensee_steinach_dolder_a
2018-01-26,G152,0.01,1,bodensee_steinach_dolder_a
2018-01-26,G7,0.02,2,bodensee_steinach_dolder_a
2018-01-26,G82,0.13,12,bodensee_steinach_dolder_a
2018-01-26,G165,0.02,2,bodensee_steinach_dolder_a
2018-01-26,G23,0.02,2,bodensee_steinach_dolder_a
2018-01-26,G96,0.02,2,bodensee_steinach_dolder_a
2018-01-26,G177,0.02,2,bodensee_steinach_dolder_a
2018-01-26,G30,0.08,7,bodensee_steinach_dolder_a
2018-01-26,G125,0.02,2,bodensee_steinach_dolder_a
2018-01-26,G194,0.01,1,bodensee_steinach_dolder_a
2018-01-26,G35,0.02,2,bodensee_steinach_dolder_a
2018-01-26,G137,0.01,1,bodensee_steinach_dolder_a
2018-01-26,G204,0.01,1,bodensee_steinach_dolder_a
2018-01-26,G50,0.02,2,bodensee_steinach_dolder_a
2018-01-26,G151,0.02,2,bodensee_steinach_dolder_a
2018-01-26,G4,0.1,9,bodensee_steinach_dolder_a
2018-01-26,G79,0.04,4,bodensee_steinach_dolder_a
2018-01-26,G156,0.02,2,bodensee_steinach_dolder_a
2018-01-26,G21,0.01,1,bodensee_steinach_dolder_a
2018-01-26,G89,0.01,1,bodensee_steinach_dolder_a
2018-01-26,G175,0.04,4,bodensee_steinach_dolder_a
2018-01-26,G27,0.03,3,bodensee_steinach_dolder_a
2018-01-26,G124,0.02,2,bodensee_steinach_dolder_a
2018-01-26,G182,0.02,2,bodensee_steinach_dolder_a
2018-01-26,G33,0.01,1,bodensee_steinach_dolder_a
2018-01-26,G134,0.02,2,bodensee_steinach_dolder_a
2018-01-26,G200,0.03,3,bodensee_steinach_dolder_a
2018-01-26,G49,0.02,2,bodensee_steinach_dolder_a
2018-01-26,G145,0.02,2,bodensee_steinach_dolder_a
2018-01-26,G210,0.02,2,bodensee_steinach_dolder_a
2018-01-26,G3,0.12,11,bodensee_steinach_dolder_a
2018-01-26,G67,0.07,6,bodensee_steinach_dolder_a
2018-01-26,G153,0.02,2,bodensee_steinach_dolder_a
2018-01-26,G10,0.02,2,bodensee_steinach_dolder_a
2018-01-26,G83,0.01,1,bodensee_steinach_dolder_a
2018-01-26,G172,0.01,1,bodensee_steinach_dolder_a
2018-01-26,G26,0.01,1,bodensee_steinach_dolder_a
2018-01-26,G101,0.08,7,bodensee_steinach_dolder_a
2018-01-26,G178,0.01,1,bodensee_steinach_dolder_a
2018-01-26,G31,0.02,2,bodensee_steinach_dolder_a
2018-01-26,G126,0.01,1,bodensee_steinach_dolder_a
2018-01-26,G198,0.01,1,bodensee_steinach_dolder_a
2017-12-29,G32,0.02,2,bodensee_steinach_dolder_a
2017-12-29,G125,0.02,2,bodensee_steinach_dolder_a
2017-12-29,G203,0.01,1,bodensee_steinach_dolder_a
2017-12-29,G3,0.11,10,bodensee_steinach_dolder_a
2017-12-29,G52,0.01,1,bodensee_steinach_dolder_a
2017-12-29,G137,0.01,1,bodensee_steinach_dolder_a
2017-12-29,G210,0.01,1,bodensee_steinach_dolder_a
2017-12-29,G8,0.01,1,bodensee_steinach_dolder_a
2017-12-29,G67,0.12,11,bodensee_steinach_dolder_a
2017-12-29,G152,0.02,2,bodensee_steinach_dolder_a
2017-12-29,G22,0.04,4,bodensee_steinach_dolder_a
2017-12-29,G80,0.03,3,bodensee_steinach_dolder_a
2017-12-29,G175,0.08,7,bodensee_steinach_dolder_a
2017-12-29,G26,0.02,2,bodensee_steinach_dolder_a
2017-12-29,G90,0.03,3,bodensee_steinach_dolder_a
2017-12-29,G182,0.02,2,bodensee_steinach_dolder_a
2017-12-29,G31,0.02,2,bodensee_steinach_dolder_a
2017-12-29,G124,0.01,1,bodensee_steinach_dolder_a
2017-12-29,G200,0.08,7,bodensee_steinach_dolder_a
2017-12-29,G50,0.04,4,bodensee_steinach_dolder_a
2017-12-29,G134,0.01,1,bodensee_steinach_dolder_a
2017-12-29,G208,0.1,9,bodensee_steinach_dolder_a
2017-12-29,G7,0.07,6,bodensee_steinach_dolder_a
2017-12-29,G65,0.01,1,bodensee_steinach_dolder_a
2017-12-29,G151,0.02,2,bodensee_steinach_dolder_a
2017-12-29,G21,0.03,3,bodensee_steinach_dolder_a
2017-12-29,G79,0.05,5,bodensee_steinach_dolder_a
2017-12-29,G156,0.04,4,bodensee_steinach_dolder_a
2017-12-29,G25,0.02,2,bodensee_steinach_dolder_a
2017-12-29,G89,0.02,2,bodensee_steinach_dolder_a
2017-12-29,G178,0.03,3,bodensee_steinach_dolder_a
2017-12-29,G30,0.13,12,bodensee_steinach_dolder_a
2017-12-29,G96,0.02,2,bodensee_steinach_dolder_a
2017-12-29,G195,0.01,1,bodensee_steinach_dolder_a
2017-12-29,G33,0.03,3,bodensee_steinach_dolder_a
2017-12-29,G131,0.01,1,bodensee_steinach_dolder_a
2017-12-29,G204,0.02,2,bodensee_steinach_dolder_a
2017-12-29,G4,0.08,7,bodensee_steinach_dolder_a
2017-12-29,G59,0.02,2,bodensee_steinach_dolder_a
2017-12-29,G138,0.01,1,bodensee_steinach_dolder_a
2017-12-29,G10,0.03,3,bodensee_steinach_dolder_a
2017-12-29,G71,0.01,1,bodensee_steinach_dolder_a
2017-12-29,G153,0.01,1,bodensee_steinach_dolder_a
2017-12-29,G24,0.03,3,bodensee_steinach_dolder_a
2017-12-29,G82,0.04,4,bodensee_steinach_dolder_a
2017-12-29,G177,0.02,2,bodensee_steinach_dolder_a
2017-12-29,G27,0.05,5,bodensee_steinach_dolder_a
2017-12-29,G95,0.02,2,bodensee_steinach_dolder_a
2017-12-29,G191,0.01,1,bodensee_steinach_dolder_a
2017-11-26,G27,0.12,11,bodensee_steinach_dolder_a
2017-11-26,G124,0.02,2,bodensee_steinach_dolder_a
2017-11-26,G208,0.07,6,bodensee_steinach_dolder_a
2017-11-26,G33,0.04,4,bodensee_steinach_dolder_a
