location,date,total
vierwaldstattersee_weggis_schoberls_1,2018-01-27,0.21
vierwaldstattersee_weggis_schoberls_1,2018-03-30,0.08
vierwaldstattersee_weggis_schoberls_2,2017-04-03,0.35
vierwaldstattersee_weggis_schoberls_2,2017-05-02,1.41
vierwaldstattersee_weggis_schoberls_2,2017-07-09,1.36
vierwaldstattersee_weggis_schoberls_2,2017-08-19,1.0
vierwaldstattersee_weggis_schoberls_2,2017-09-10,1.07
vierwaldstattersee_weggis_schoberls_2,2017-10-19,0.53
vierwaldstattersee_weggis_schoberls_2,2017-11-04,0.43
vierwaldstattersee_weggis_schoberls_2,2017-12-27,0.56
vierwaldstattersee_weggis_schoberls_2,2018-01-27,0.69
vierwaldstattersee_weggis_schoberls_2,2018-03-30,1.16
katzensee_regensdorfzuerichaffoltern_stueberj,2017-04-04,2.89
katzensee_regensdorfzuerichaffoltern_stueberj,2017-05-03,3.96
katzensee_regensdorfzuerichaffoltern_stueberj,2017-06-06,1.49
katzensee_regensdorfzuerichaffoltern_stueberj,2017-07-05,1.41
katzensee_regensdorfzuerichaffoltern_stueberj,2017-08-15,1.18
katzensee_regensdorfzuerichaffoltern_stueberj,2017-09-07,1.41
katzensee_regensdorfzuerichaffoltern_stueberj,2017-10-05,1.96
katzensee_regensdorfzuerichaffoltern_stueberj,2017-11-06,1.51
katzensee_regensdorfzuerichaffoltern_stueberj,2017-12-08,0.99
katzensee_regensdorfzuerichaffoltern_stueberj,2018-01-09,1.69
katzensee_regensdorfzuerichaffoltern_stueberj,2018-02-10,1.34
katzensee_regensdorfzuerichaffoltern_stueberj,2018-03-08,1.46
chriesbach_duebendorf_schneidera,2017-04-04,1.71
chriesbach_duebendorf_schneidera,2017-05-11,1.55
chriesbach_duebendorf_schneidera,2017-06-13,0.45
chriesbach_duebendorf_schneidera,2017-07-11,1.16
chriesbach_duebendorf_schneidera,2017-08-16,0.26
chriesbach_duebendorf_schneidera,2017-09-19,0.14
chriesbach_duebendorf_schneidera,2017-10-05,0.32
chriesbach_duebendorf_schneidera,2017-11-15,0.4
chriesbach_duebendorf_schneidera,2017-12-06,0.38
chriesbach_duebendorf_schneidera,2018-01-08,1.53
chriesbach_duebendorf_schneidera,2018-02-05,1.94
chriesbach_duebendorf_schneidera,2018-03-09,1.26
bodensee_arbon_moslis,2017-04-05,1.55
bodensee_arbon_moslis,2017-05-09,0.67
bodensee_arbon_moslis,2017-06-23,1.06
bodensee_arbon_moslis,2017-08-29,0.66
bodensee_arbon_moslis,2017-09-27,0.91
bodensee_arbon_moslis,2017-10-04,0.48
bodensee_arbon_moslis,2017-11-15,1.14
bodensee_arbon_moslis,2017-12-27,0.54
bodensee_arbon_moslis,2018-01-31,0.72
bodensee_arbon_moslis,2018-02-28,0.35
bodensee_arbon_moslis,2018-03-24,0.35
greifensee_fallanden_meistery,2017-04-05,2.4
greifensee_fallanden_meistery,2017-05-08,2.04
greifensee_fallanden_meistery,2017-06-06,2.78
greifensee_fallanden_meistery,2017-07-05,1.73
greifensee_fallanden_meistery,2017-08-21,1.24
bodensee_altenrhein_caluoria,2017-04-05,14.05
thur_schoenenberg_schaera,2017-04-06,0.21
thur_schoenenberg_schaera,2017-04-08,0.1
thur_schoenenberg_schaera,2017-04-10,0.05
thur_schoenenberg_schaera,2017-04-13,0.22
thur_schoenenberg_schaera,2017-04-25,0.55
thur_schoenenberg_schaera,2017-05-01,0.1
thur_schoenenberg_schaera,2017-05-07,0.22
thur_schoenenberg_schaera,2017-05-13,0.14
thur_schoenenberg_schaera,2017-05-18,0.46
thur_schoenenberg_schaera,2017-05-22,0.14
thur_schoenenberg_schaera,2017-05-25,0.09
thur_schoenenberg_schaera,2017-05-27,0.4
thur_schoenenberg_schaera,2017-05-29,0.88
thur_schoenenberg_schaera,2017-06-01,0.55
thur_schoenenberg_schaera,2017-06-07,1.23
thur_schoenenberg_schaera,2017-06-11,1.11
thur_schoenenberg_schaera,2017-06-13,1.13
thur_schoenenberg_schaera,2017-06-15,0.66
thur_schoenenberg_schaera,2017-06-19,0.68
thur_schoenenberg_schaera,2017-06-22,1.03
thur_schoenenberg_schaera,2017-06-24,0.66
thur_schoenenberg_schaera,2017-06-26,0.56
thur_schoenenberg_schaera,2017-06-29,0.61
thur_schoenenberg_schaera,2017-07-02,0.46
thur_schoenenberg_schaera,2017-07-06,0.43
thur_schoenenberg_schaera,2017-07-09,0.6
thur_schoenenberg_schaera,2017-07-14,0.13
thur_schoenenberg_schaera,2017-07-19,0.53
thur_schoenenberg_schaera,2017-07-22,0.29
thur_schoenenberg_schaera,2017-07-26,0.11
thur_schoenenberg_schaera,2017-07-30,0.26
thur_schoenenberg_schaera,2017-08-02,1.06
thur_schoenenberg_schaera,2017-08-04,0.59
thur_schoenenberg_schaera,2017-08-06,0.53
thur_schoenenberg_schaera,2017-08-09,0.15
thur_schoenenberg_schaera,2017-08-14,0.34
thur_schoenenberg_schaera,2017-08-16,0.28
thur_schoenenberg_schaera,2017-08-19,0.12
thur_schoenenberg_schaera,2017-08-23,0.2
thur_schoenenberg_schaera,2017-08-27,0.17
thur_schoenenberg_schaera,2017-08-29,0.35
thur_schoenenberg_schaera,2017-08-31,0.64
thur_schoenenberg_schaera,2017-09-07,0.58
thur_schoenenberg_schaera,2017-09-14,0.31
thur_schoenenberg_schaera,2017-09-20,0.13
thur_schoenenberg_schaera,2017-09-25,0.18
thur_schoenenberg_schaera,2017-09-30,0.16
thur_schoenenberg_schaera,2017-10-09,0.13
thur_schoenenberg_schaera,2017-10-14,0.08
thur_schoenenberg_schaera,2017-10-27,0.26
thur_schoenenberg_schaera,2017-11-16,0.15
thur_schoenenberg_schaera,2017-11-28,0.07
thur_schoenenberg_schaera,2017-12-30,0.21
thur_schoenenberg_schaera,2018-01-19,0.17
thur_schoenenberg_schaera,2018-01-31,0.6
thur_schoenenberg_schaera,2018-02-16,0.01
thur_schoenenberg_schaera,2018-02-25,0.43
thur_schoenenberg_schaera,2018-03-09,0.34
thur_schoenenberg_schaera,2018-03-30,0.56
neuenburgersee_cudrefin_mattera,2017-04-07,2.6
neuenburgersee_cudrefin_mattera,2017-05-28,2.7
neuenburgersee_cudrefin_mattera,2017-06-25,2.6
neuenburgersee_cudrefin_mattera,2017-07-29,2.1
neuenburgersee_cudrefin_mattera,2017-08-20,1.9
neuenburgersee_cudrefin_mattera,2017-09-24,3.0
neuenburgersee_cudrefin_mattera,2017-10-28,2.3
neuenburgersee_cudrefin_mattera,2017-12-17,2.1
lorze_baar_blarere,2017-04-07,1.34
lorze_baar_blarere,2017-05-06,0.95
lorze_baar_blarere,2017-06-02,0.86
lorze_baar_blarere,2017-07-08,0.72
lorze_baar_blarere,2017-08-06,0.89
lorze_baar_blarere,2017-09-10,0.69
lorze_baar_blarere,2017-10-21,0.36
lorze_baar_blarere,2017-11-04,0.8
